FY,Component,Amount
FY2024-25,Brokerage,10574.39
FY2024-25,GST,2043.85
FY2024-25,STT,7639.0
FY2024-25,SEBI Tax,23.88
FY2024-25,Exchange Turnover,735.11
FY2024-25,Stamp Duty,659.0
FY2024-25,DP Charges,3540.0
FY2024-25,AMC,70.8
FY2024-25,Pledge,47.2
FY2025-26,Brokerage,19858.16
FY2025-26,GST,3822.7
FY2025-26,STT,11539.0
FY2025-26,SEBI Tax,43.23
FY2025-26,Exchange Turnover,1294.98
FY2025-26,Stamp Duty,1069.0
FY2025-26,IPFT,9.71
FY2025-26,DP Charges,5829.2
FY2026-27*,Brokerage,13931.35
FY2026-27*,GST,2658.75
FY2026-27*,STT,6454.0
FY2026-27*,SEBI Tax,25.08
FY2026-27*,Exchange Turnover,814.38
FY2026-27*,Stamp Duty,598.0
FY2026-27*,IPFT,0.01
FY2026-27*,DP Charges,1652.0
FY2026-27*,Interest,139.7
FY2026-27*,Pledge,47.2
