Date,GrossPnL,TradeCharges,Turnover,NetPnL
2024-04-30,0.0,86.68,37672.2,-86.68
2024-05-31,0.0,80.43,31305.0,-80.43
2024-06-30,0.0,14.73,3594.2,-14.73
2024-07-31,4854.9500000000035,710.46,652412.11,4144.490000000003
2024-08-31,-6574.419999999996,379.41,188232.47999999998,-6953.829999999996
2024-09-30,2501.0000000000136,1463.68,1330462.78,1037.3200000000136
2024-10-31,-14039.109999999999,1777.46,893515.99,-15816.57
2024-11-30,-2650.579999999983,1836.97,1707079.26,-4487.549999999983
2024-12-31,-6062.840000000055,5252.27,5717260.28,-11315.110000000055
2025-01-31,-19477.400000000005,5691.74,6908095.0200000005,-25169.140000000007
2025-02-28,563.2199999999759,1922.28,2979033.91,-1359.060000000024
2025-03-31,-249.5400000000065,2458.99,3425435.63,-2708.530000000006
2025-04-30,-12788.709999999992,1821.93,1497883.33,-14610.639999999992
2025-05-31,-48117.49000000001,2678.38,2931720.63,-50795.87000000001
2025-06-30,-2069.0999999999985,2584.31,3107305.73,-4653.409999999998
2025-07-31,2449.530000000003,3127.65,3120502.52,-678.1199999999972
2025-08-31,-3611.8499999999585,3506.86,5283079.76,-7118.709999999959
2025-09-30,-25640.34999999999,4167.44,4278120.17,-29807.78999999999
2025-10-31,-3958.598333333387,3778.18,4353770.96,-7736.778333333386
2025-11-30,3293.73166666669,5832.46,8209637.0200000005,-2538.72833333331
2025-12-31,19471.089999999916,6794.03,8416424.61,12677.059999999918
2026-01-31,-288.2500000000027,830.6600000000001,482154.6,-1118.9100000000028
2026-02-28,-954.95,1518.44,943444.05,-2473.3900000000003
2026-03-31,-195.67999999998148,996.2,598664.5599999999,-1191.8799999999815
2026-04-30,1270.619999999998,589.79,376887.84,680.8299999999981
2026-05-31,18308.289999999968,2825.42,4250624.13,15482.869999999968
2026-06-30,-5037.639999999982,4601.08,5793985.28,-9638.719999999983
2026-07-31,-6564.440000000036,8849.74,8498722.79,-15414.180000000037
2026-08-31,9297.969999999988,7615.11,6159802.01,1682.8599999999888
