OrderValue,Your broker (full-service ~0.05%),Your broker (full-service ~0.05%) %,Zerodha,Zerodha %,Groww,Groww %,Upstox,Upstox %,Angel One,Angel One %,Marwadi-type full service,Marwadi-type full service %
1000,28.4,2.84,17.6,1.756,37.6,3.762,69.4,6.942,34.0,3.402,31.3,3.13
2000,31.8,1.59,19.8,0.989,39.8,1.992,71.6,3.582,36.2,1.812,40.6,2.03
3600,37.3,1.035,23.3,0.649,43.4,1.206,75.2,2.089,39.8,1.106,55.5,1.542
5000,42.0,0.84,26.5,0.529,46.5,0.93,78.3,1.566,42.9,0.858,68.5,1.37
10000,59.0,0.59,37.6,0.376,69.4,0.694,89.4,0.894,65.8,0.658,115.0,1.15
20000,93.1,0.465,59.8,0.299,115.3,0.576,111.7,0.558,111.7,0.558,208.1,1.04
50000,195.2,0.39,126.6,0.253,182.0,0.364,178.4,0.357,178.4,0.357,487.2,0.974
66667,252.0,0.378,163.7,0.245,219.1,0.329,215.5,0.323,215.5,0.323,642.3,0.963
100000,365.5,0.365,237.8,0.238,293.3,0.293,289.7,0.29,289.7,0.29,952.5,0.952
200000,706.0,0.353,460.3,0.23,515.8,0.258,512.2,0.256,512.2,0.256,1883.0,0.941
500000,1727.4,0.345,1127.7,0.226,1183.2,0.237,1179.6,0.236,1179.6,0.236,4674.4,0.935
