OrderValue,Your broker (full-service ~0.05%),Your broker (full-service ~0.05%) %,Zerodha,Zerodha %,Groww,Groww %,Upstox,Upstox %,Angel One,Angel One %,Marwadi-type full service,Marwadi-type full service %
1000,1.5,0.153,1.1,0.106,12.2,1.215,2.7,0.271,12.2,1.215,1.1,0.106
2000,3.1,0.153,2.1,0.106,12.5,0.625,5.4,0.271,12.5,0.625,2.1,0.106
3600,5.5,0.153,3.8,0.106,13.1,0.363,9.8,0.271,13.1,0.363,3.8,0.106
5000,7.7,0.153,5.3,0.106,13.6,0.271,13.6,0.271,13.6,0.271,5.3,0.106
10000,15.3,0.153,10.6,0.106,27.1,0.271,27.1,0.271,27.1,0.271,10.6,0.106
20000,30.7,0.153,21.3,0.106,54.3,0.271,54.3,0.271,54.3,0.271,21.3,0.106
50000,76.7,0.153,53.1,0.106,64.9,0.13,64.9,0.13,64.9,0.13,53.1,0.106
66667,102.3,0.153,70.9,0.106,70.9,0.106,70.9,0.106,70.9,0.106,70.9,0.106
100000,153.5,0.153,82.7,0.083,82.7,0.083,82.7,0.083,82.7,0.083,106.3,0.106
200000,307.0,0.153,118.2,0.059,118.2,0.059,118.2,0.059,118.2,0.059,212.6,0.106
500000,767.4,0.153,224.6,0.045,224.6,0.045,224.6,0.045,224.6,0.045,531.4,0.106
