Scrip Symbol,DeliveryNet,DeliveryGross,IntradayNet,IntradayGross,TotalNet
WAAREEENER,-29770.26,-27535.95,4863.83,7483.75,-24906.43
OLAELEC,-16523.14,-13761.41,-1032.59,-770.94,-17555.73
STALLION,-18636.99,-17629.7,2663.83,3445.38,-15973.160000000002
BLUESTONE,-21246.31,-20678.75,5703.879999999999,10426.25,-15542.430000000002
INDOFARM,-12690.81,-12345.97,4332.879999999999,4765.9,-8357.93
SUZLON,-8850.88,-7394.71,1719.3799999999999,3459.61,-7131.499999999999
REGAAL,-6358.49,-6202.79,-142.89,35.20999999999998,-6501.38
CMLL,-548.06,-400.7,-5937.24,-4051.55,-6485.299999999999
ACMESOLAR,-10442.0,-9163.17,4858.17,5703.99,-5583.83
CAPILLARY,17.24,61.2,-5146.099999999999,-4237.2,-5128.86
NOCIL,-4525.56,-4362.75,53.31999999999999,178.2,-4472.240000000001
MOBIKWIK,-25110.71,-23800.49,20868.43,22201.95,-4242.279999999999
IREDA,-4506.74,-4320.0,304.0,370.8,-4202.74
VMSTMT,-4370.82,-4258.5,430.64,442.54,-3940.18
SOLARWORLD,-92.76,60.9,-3817.28,-3755.05,-3910.0400000000004
SCODATUBES,-3820.11,-2495.88,92.26000000000013,742.33,-3727.85
JARO,-1170.63,-1029.4,-2522.01,-2487.75,-3692.6400000000003
VIKRAMSOLR,-3378.68,-3080.01,234.88000000000005,568.3199999999999,-3143.7999999999997
PINELABS,-169.0,-146.5,-2757.33,-2177.47,-2926.33
RAMBHAJO,-2836.86,-2461.7,0.0,0.0,-2836.86
IRFC,-2843.08,-2553.74,8.01,12.4,-2835.0699999999997
WAAREERTL,-3161.48,-3094.4,585.22,762.7,-2576.26
KNACK,-890.99,-243.73,-1681.7899999999997,1723.3000000000004,-2572.7799999999997
BHEL,-2673.36,-2058.56,122.61000000000001,161.95,-2550.75
CRSL,-2424.05,-2375.0,0.0,0.0,-2424.05
PATELRMART,-2358.15,-2235.4,0.0,0.0,-2358.15
HINDUNILVR,-1605.55,-1353.2,-737.21,-229.8,-2342.76
VAKRANGEE,-2437.69,-2249.55,154.42,163.4,-2283.27
MEESHO,1781.72,2107.2,-3790.5099999999998,-2472.3599999999997,-2008.7899999999997
THINKINK,-1971.27,-1950.0,0.0,0.0,-1971.27
SAMBHV,-3918.69,-3494.99,2073.6499999999996,2484.5699999999997,-1845.0400000000004
NSDL,-741.87,-570.05,-1031.1100000000001,-383.25,-1772.98
ORKLAINDIA,-1350.61,-1321.0,-297.15000000000003,-201.8,-1647.76
TENNIND,0.0,0.0,-1642.3000000000002,-1113.8,-1642.3000000000002
LASERPOWER,228.1,252.7,-1863.0800000000002,-1463.6899999999996,-1634.9800000000002
GALAPREC,-1523.81,-1395.0,0.0,0.0,-1523.81
NHPC,-1404.64,-1334.36,0.0,0.0,-1404.64
STYL,0.0,0.0,-1257.77,-1235.45,-1257.77
HYUNDAI,-1142.55,-1029.25,-85.09,-75.6,-1227.6399999999999
LCL,1024.58,1095.0,-2231.29,-1868.5500000000002,-1206.71
TECHNOCRAF,-44.01,-34.7,-1113.52,-828.69,-1157.53
GLOBECIVIL,-1139.03,-922.51,-18.03,-13.5,-1157.06
PRICOLLTD,-974.4,-852.85,0.0,0.0,-974.4
ARDEE,0.0,0.0,-919.7,-678.55,-919.7
CDSL,-149.52,281.3,-708.0000000000001,-527.65,-857.5200000000001
GTLINFRA,-852.32,-840.0,0.0,0.0,-852.32
VIDYAWIRES,-1049.41,-998.0,202.24,273.05,-847.1700000000001
LENSKART,-237.62,-199.35,-586.46,-553.0,-824.08
ANTHEM,-600.65,-427.35,-195.19,-177.5,-795.8399999999999
HCLTECH,-586.75,-482.75,-196.68,-174.35,-783.4300000000001
SURAKSHA,-916.1,-877.2,153.12,197.2,-762.98
TRIDENT,-742.45,-707.68,0.0,0.0,-742.45
HEROMOTOCO,-888.31,-815.75,149.65,326.4,-738.66
NTPC,-667.23,-639.35,0.0,0.0,-667.23
SHREEJISPG,0.0,0.0,-579.06,-565.0,-579.06
MEIL,-597.51,-566.05,31.179999999999996,103.55,-566.33
DEVX,-565.41,-527.0,0.0,0.0,-565.41
