Date,Scrip,Qty,SellValue
2024-04-12,BHARTI HEXACOM LIMIT,26,19630.0
2024-04-25,VODAFONE IDEA LIMITE,1298,18042.2
2024-05-15,AADHAR HOUSING FINAN,47,14805.0
2024-05-23,GO DIGIT GENERAL INS,55,16500.0
2024-06-26,ALOK INDUSTRIES LIMI,65,1853.8
2024-07-10,EMCURE PHARMACEUTICA,14,19320.0
2024-09-03,PREMIER ENERGIES LIM,33,27776.100000000002
2024-09-16,BAJAJ HOUSING FINANC,100,16380.000000000002
2024-09-16,BAJAJ HOUSING FINANC,114,17864.940000000002
2024-10-07,HERO MOTOCORP LIMITE,1,5579.1
2024-10-25,VODAFONE IDEA LIMITE,100,778.0
2024-11-04,AFCONS INFRASTRUCTUR,32,15044.8
2024-11-14,NIVA BUPA HEALTH INS,100,7990.000000000001
2024-11-14,NIVA BUPA HEALTH INS,100,7711.0
2024-11-18,ACME SOLAR HOLDINGS,50,12252.5
2024-11-19,ACME SOLAR HOLDINGS,1,263.7
2024-11-29,NTPC GREEN ENERGY LI,138,17269.32
2024-12-06,SURAKSHA DIAGNOSTIC,34,14116.8
2024-12-18,SAI LIFE SCIENCES LI,3,1950.0
2024-12-18,SAI LIFE SCIENCES LI,50,38305.0
2024-12-18,SAI LIFE SCIENCES LI,50,38000.0
2024-12-18,SAI LIFE SCIENCES LI,50,38325.0
2024-12-18,VISHAL MEGA MART LIM,190,19760.0
2024-12-31,UNIMECH AEROSPACE AN,19,25753.55
2025-01-02,VISHAL MEGA MART LIM,100,10955.0
2025-01-20,SUZLON ENERGY LIMITE,100,5861.0
2025-02-05,ACME SOLAR HOLDINGS,50,11050.0
2025-02-10,STALLION INDIA FLUOR,200,19304.0
2025-03-26,SUZLON ENERGY LIMITE,114,6488.88
2025-03-26,SUZLON ENERGY LIMITE,86,4895.12
2025-05-14,WAAREE ENERGIES LIMI,1,2801.0
2025-05-14,WAAREE ENERGIES LIMI,4,11400.0
2025-05-28,BELRISE INDUSTRIES L,166,16600.0
2025-06-09,SCODA TUBES LIMITED,1,148.9
2025-06-09,SCODA TUBES LIMITED,25,3725.0
2025-06-09,SCODA TUBES LIMITED,37,5624.0
2025-06-10,SCODA TUBES LIMITED,12,1959.6000000000001
2025-06-17,BSE LIMITED,10,26484.0
2025-06-23,BSE LIMITED,5,13450.0
2025-06-26,BSE LIMITED,5,13875.0
2025-07-02,HDB FINANCIAL SERVIC,20,16700.0
2025-07-11,HDB FINANCIAL SERVIC,10,8456.0
2025-07-15,GLOBE CIVIL PROJECTS,10,812.6
2025-08-14,ALL TIME PLASTICS LI,26,7385.3
2025-08-14,ALL TIME PLASTICS LI,4,1136.2
2025-08-14,ALL TIME PLASTICS LI,24,6840.0
2025-08-14,SW CEMENT LIMITED,39,5694.780000000001
2025-08-14,SW CEMENT LIMITED,63,9199.26
2025-09-08,BLUESTONE JEWEL LFST,7,4130.7
2025-09-08,BLUESTONE JEWEL LFST,1,590.35
2025-09-08,BLUESTONE JEWEL LFST,2,1180.4
2025-09-08,BLUESTONE JEWEL LFST,2,1180.4
2025-09-08,BLUESTONE JEWEL LFST,1,590.2
2025-09-08,BLUESTONE JEWEL LFST,2,1180.2
2025-09-08,BLUESTONE JEWEL LFST,1,590.15
2025-09-08,BLUESTONE JEWEL LFST,3,1770.6000000000001
2025-09-08,BLUESTONE JEWEL LFST,36,21243.600000000002
2025-09-08,BLUESTONE JEWEL LFST,1,590.15
2025-09-08,BLUESTONE JEWEL LFST,2,1180.4
2025-09-08,BLUESTONE JEWEL LFST,2,1180.2
2025-09-08,MANGAL ELECTRICAL IN,2,1078.6
2025-09-08,MANGAL ELECTRICAL IN,4,2156.4
2025-09-08,MANGAL ELECTRICAL IN,19,10245.75
2025-09-08,MANGAL ELECTRICAL IN,1,539.2
2025-09-08,VIKRAN ENGINEERING L,48,4723.200000000001
2025-09-08,VIKRAN ENGINEERING L,100,10000.0
2025-09-09,BlueStone Jewellery,30,19890.0
2025-11-12,ORKLA INDIA LIMITED,20,13279.0
2025-11-27,CAPILLARY TECHNO IND,7,4689.650000000001
2025-12-03,VODAFONE IDEA LIMITED,272,2820.64
2025-12-04,VODAFONE IDEA LIMITED,28,297.64000000000004
2025-12-05,OLA ELECTRIC MOBILITY LTD,100,3483.0
2025-12-08,BLUESTONE JEWEL LFSTL LTD,16,8488.8
2025-12-08,BLUESTONE JEWEL LFSTL LTD,27,14334.3
2025-12-08,BLUESTONE JEWEL LFSTL LTD,1,530.55
2025-12-08,BLUESTONE JEWEL LFSTL LTD,17,9018.5
2025-12-08,BLUESTONE JEWEL LFSTL LTD,2,1061.6
2025-12-08,BLUESTONE JEWEL LFSTL LTD,5,2652.5
2025-12-08,BLUESTONE JEWEL LFSTL LTD,2,1061.2
2025-12-08,BLUESTONE JEWEL LFSTL LTD,11,5835.5
2025-12-08,BLUESTONE JEWEL LFSTL LTD,9,4775.400000000001
2025-12-08,BLUESTONE JEWEL LFSTL LTD,10,5307.5
2025-12-19,ICICI PRUDENTIAL AMC LTD,6,15600.0
2025-12-19,NEPHROCARE HEALTH SERV L,32,14686.4
2026-01-20,BHARAT COKING COAL LTD,600,24270.0
2026-07-21,SBI FUNDS MANAGEMENT LTD,26,15887.3
2026-07-30,INDO-MIM LIMITED,30,22350.0
2026-08-19,LEAP INDIA LIMITED,94,14920.619999999999
